1	花越开越密，越开越盛，不久便挂满了枝头。走近看，仿佛是一个个活泼的小喇叭，正鼓着劲儿在吹呢。
1	大海就像我朋友，最好的知己，我们一起快乐的生活着；
0	俊俏女仆站在桌旁很熟练地剥着蟹肉。
0	最后，他本人带着预备队驻扎在西北面的狮子山，作为最后的决战力量。
1	18．这些石榴娃娃急切地扒一开绿黄色的叶子向外张望，向人们报告着成熟的喜讯。
1	瀑布注入水潭的一刹那,一朵朵白色的浪花腾空而起,像溅玉抛珠一般
0	这，您就得把世界的普遍的绘画理论与技巧，下一番功夫把握住。
1	山坡上，大路边，村子口，榛树叶子全都红了，红得像一团团火，把人们的心也给燃烧起来了。
1	我顺着柳荫小路漫步，只见那依依的垂柳，仿佛像少女羞涩的低着头，在朝辉中舒展着柔美的身姿。
0	秋玲这时已经带着歉意和得意交织的神情，默默地坐在沙发角上，偏着半边脑壳在笑。
1	晚上，我站在窗台，抬起头，望着月亮，月亮像香蕉在天上挂着，很亮很亮；月亮有时候还像月饼呢，我听说月亮上有几十种元素，将来还能成为我们另一个家园呢！
0	他和埃斯珀兰萨绕过楼顶上一个个炸开的洞，发现贝丝正拼命想从大火边上爬开。
0	看到波斯人正叫人点着火把，哈桑便立刻害怕地问道：“你这是要干什么？”波斯人立刻邪恶地说道：“伟大的火神，是我们唯一的信仰。
1	核桃：没有华丽的外表，却有充实的大脑。
1	坐在校园里，迎面扑来春的气息，空气里酝酿着芬芳的青草味。一大片绿色的草地映入我的眼帘，那是生命的绿色。大榕树像一把绿色的大伞，一片片新绿的嫩叶，充满朝气与活力，小鸟儿在枝头奏着欢快的乐曲，我的思绪也不禁飘到融融春一色之中……春天来了，春天总算来了，春天终于来了！
1	一条彩虹出现在碧蓝的天空，各种颜色织在一起相映生辉，像一座金桥，气势雄伟地横卧天际。
0	那时也无非是对于没有疼痛的人生的好奇心使我暂且活着。
1	1、那些笼罩在山头的云雾，就像是戴在山顶上的白色绒帽；那些缠绕在半山的云雾，又像是 系在山腰间的一条条玉带。云雾弥漫山谷，它是茫茫的大海，云雾遮挡山峰，它又是巨大 的天幕。
1	母亲是大海，拥抱孩子的心灵。
0	对上级官员的赏赐，依照正月初二宫中“大飨”的办法。
1	他们现在是黄瓜掉进盐缸里，全蔫了!
0	“现在是谁都可以来往。
1	芦苇着花了，芦花飘飘，白白的，软一软的，像一簇簇轻一盈的羽毛，在风中摇荡。
0	而南方的罗得西亚——即今津巴布韦（zimbabwe）——白人移民企图在此建立一个由白人统治的独立政权，11年尝试未果之后，终在两大游击运动日增的压力下于1976年画上句号。
0	他嘱咐王后：“孩子生下后，你好好照料他，千万不要带他来见我。
0	“你觉得好些了吗？”他问。
0	“你们瞧这家伙多痴情？”伏脱冷叫道，“那女人有本领迷得他心限儿都痒了。
0	他对她很好。
0	先生，我也劝你暂时玩玩罢，随便弄一点糊口之计，不过我并不希望你永久“没落”，有能改革之处，还是随时可以顺手改革的，无论大小。
0	因为他们的生活就是由这样的一问一答组成的。
0	维托·考利昂从自己的衣袋里掏出一迭钞票，抽出三张十元的钞票。
0	姨妈看戏时，有时也会经历一些危险的场面。
1	远处的霓虹灯亮了，像一道亮丽的彩虹，像仙女飘舞的裙带，像一座七彩小桥，像一朵朵耀眼，绚丽的云。
0	”铃子点了点头。
0	许多事禁止他做，剩下的事也不愿意看见他干。
1	八哥翅膀的尖端，镶嵌着一个个白点；头上一撮翘着的毛，犹如一个皇冠；它还有一双玛瑙般的眼睛；一张嘴特别尖，是淡黄色的；爪子像一个个小月牙，既十分有力，又很灵活，能牢牢抓住笼子里的木棒；腿又细又长，像芦柴棒似的。
1	诚信是灯，点亮前进之路的灯；
1	父爱像冬日的陽光，在寒冷的冬天，只有那抹陽光让我感到暇意，当我参加比赛时紧张的心情布满全身，额头都是汗珠的时候，爸爸递给我一丝鼓励，一块冰凉的饮料，使我勇敢直冲，取得了好名次。 
0	她冲他喊了一声，他看见她坐在沙滩上，盘着那双黝黑的腿，穿着一条又单又薄的裙子，头上胡乱地搭着一块毛巾。
0	”奇奇科夫心想：“嗯!我明白，那是法律顾问!”萨莫斯维斯托夫走了。
1	宁静的夜晚，只有那天上的星星正在窃窃私语。
0	这使得观望的人群一阵激动，觉得有了希望。
0	不过她马上就高兴起来了，她说：“我有一个好主意！”谢天谢地睁大眼睛看着妈妈。
1	父亲是一口矿井，风雨中，疲劳的脊背在晨曦中缩短又被落日拉长；母亲是一柱火把，黑暗中，轻柔的的嗓音在歌谣中，沙哑又在半夜里重复；我是一粒小胚胎，晴空下，稚嫩的手臂在沃野上破土又在火光中挺一立。
0	刘主任和田志德一进门，看见马队长的脸上正在刮风走云，不知出了什么事。
0	你要进‘一女师’，我可以想法子。
1	我的心像刀绞一般，泪水迷糊了我的眼睛。
1	看那边，人山人海，一眼望不到头，那一个个人脑袋比蚂蚁还多呀！
0	“这样看来，我就没事儿了？唉！我一个护士，能干啥呀！到时候年纪大了，把军装一脱，能到地方医院混碗饭吃就不错了。
0	”朱白氏担心地问：“你到哪达去？不是说不去吗？”朱先生说：“我得出去躲几天。
