literal
神秘	O
得	O
像	O
有	O
一层	O
白色	O
的	O
雾	O
或	O
薄纱	O
始终	O
笼罩着	O
的	O
月光	O
，	O
冰冷	O
地	O
瞧	O
着	O
流逝	O
的	O
岁月	O
。	O

literal
也许	O
是因为	O
妈妈	O
真的	O
老	O
了	O
，	O
她	O
的	O
行动	O
变	O
的	O
不是	O
那么	O
利索	O
，	O
她	O
的	O
身子	O
也	O
不	O
像	O
以前	O
那么	O
硬朗	O
了	O
。	O

literal
因为	O
在	O
我	O
走过	O
的	O
这些	O
年里	O
，	O
从来	O
没有	O
一个	O
老师	O
像	O
这样	O
真诚地	O
向	O
她	O
的	O
学生	O
道歉	O
。	O

literal
眼前	O
的	O
长空	O
似乎	O
那么	O
美丽	O
妖娆	O
，	O
有	O
银河	O
的	O
传说	O
，	O
散发	O
点点	O
星光	O
，	O
哪	O
像	O
有	O
现在	O
这样	O
，	O
困难	O
，	O
迷茫	O
。	O

literal
岁月	O
总是	O
偏离	O
它	O
应有	O
的	O
轨道	O
，	O
就	O
像	O
某些	O
有失	O
公平	O
的	O
意义	O
。	O

literal
狮子	O
消失	O
后	O
，	O
我	O
仿佛	O
看见	O
一个	O
人	O
的	O
头形	O
，	O
那	O
像	O
我	O
的	O
爷爷	O
。	O

literal
但是	O
，	O
我	O
希望	O
更多人	O
能	O
保护	O
好	O
自己	O
的	O
眼睛	O
，	O
不会	O
像	O
我	O
这样	O
那	O
就	O
请	O
让	O
我	O
给	O
你们	O
出	O
金点子	O
吧	O
！	O

simile
她	ts
蹦蹦跳跳	O
地	O
像	O
只	O
漂亮	O
地	O
蝴蝶	vs
一样	O
地走了	O
，	O
而	O
我	O
也	O
感到	O
很	O
舒服	O
，	O
心情	O
也	O
倍儿	O
好	O
，	O
我	O
终于	O
有	O
“	O
家	O
”	O
了	O
。	O

literal
我	O
像	O
吞	O
温开水	O
一样	O
静静地	O
享受	O
所有	O
的	O
关心	O
与	O
温暖	O
。	O

simile
曾	O
看到	O
过	O
这样	O
一段话	O
寂寞	ts
像	O
四月	O
落下	O
的	O
雪花	vs
，	O
有	O
十六个	O
菱角	O
，	O
你	O
说	O
美	O
不	O
美丽	O
．	O
它们	O
是	O
这样	O
落寞	O
而	O
优雅	O
．	O
寂寞	O
落下	O
了	O
，	O
就	O
不见	O
了	O
．	O
有人	O
不	O
相信	O
，	O
可是	O
它	O
真的	O
真的	O
是	O
存在	O
过	O
的	O
．	O
有	O
很多	O
孩子	O
为	O
它	O
哭泣	O
，	O
为	O
它	O
不知所措	O
．	O
有	O
很多	O
孩子	O
开始	O
写字	O
，	O
只是	O
为了	O
记下	O
很	O
寂寞	O
很	O
寂寞	O
的	O
青春	O
．	O
他们	O
并	O
不是	O
没有	O
人	O
陪伴	O
，	O
只是	O
期待	O
成长	O
的	O
灵魂	O
渗透	O
出	O
冰冷	O
的	O
忧伤	O
，	O
是	O
灵魂	O
躺	O
寂寞	O
，	O
需要	O
倾诉	O
和	O
告白	O
．	O
我	O
想	O
自己	O
之所以	O
会	O
喜欢	O
上	O
写字	O
，	O
也许	O
是	O
自己	O
的	O
青春	O
真的	O
太	O
寂寞	O
了	O
吧	O
！	O

literal
我	O
觉得	O
做人	O
，	O
就要	O
像	O
桃子	O
那样	O
，	O
乐于	O
为	O
人民	O
奉献	O
一切	O
。	O

literal
我	O
一直	O
挺立	O
在	O
草地	O
上	O
，	O
现在	O
，	O
又	O
仿佛	O
像	O
一个	O
老人	O
，	O
没有	O
人	O
记得	O
我	O
，	O
忽略	O
我	O
的	O
存在	O
。	O

simile
您	ts
的	O
可爱	O
就	O
像	O
太阳	vs
一样	O
，	O
就算	O
在	O
病床	O
上	O
，	O
您	O
依旧	O
温暖	O
动人	O
，	O
谢谢您	O
，	O
给	O
我	O
快乐	O
，	O
让	O
我	O
乐观	O
。	O

literal
今天下午	O
，	O
我们	O
像	O
往常	O
一样	O
，	O
在	O
上课	O
。	O

literal
开始	O
检录	O
时	O
，	O
我	O
更	O
紧张	O
了	O
，	O
牙齿	O
格格	O
作响	O
，	O
见	O
了	O
好	O
朋友	O
就	O
紧紧	O
地	O
抱	O
着	O
，	O
真	O
有点	O
像	O
神经病	O
。	O

simile
我们	ts
只好	O
呼朋唤友	O
，	O
像	O
一群	O
老鼠	vs
绕来	O
绕	O
去	O
。	O

literal
我	O
满心欢喜	O
的	O
跑	O
过去	O
，	O
从	O
一大堆	O
花花绿绿	O
的	O
书	O
中	O
一眼	O
就	O
看到	O
了	O
它	O
—	O
—	O
《	O
小	O
公主	O
和	O
矮	O
爸爸	O
》	O
我	O
顿时	O
像	O
得到	O
心仪	O
玩具	O
的	O
孩子	O
，	O
欢天喜地	O
地	O
躲	O
回	O
了	O
我	O
的	O
小房间	O
。	O

literal
四肢	O
也	O
是	O
黑黑的	O
，	O
衬着	O
一身	O
雪白	O
的	O
裘	O
皮大衣	O
，	O
像	O
穿戴	O
着	O
光滑	O
油亮	O
的	O
黑	O
手套	O
、	O
黑	O
皮靴	O
。	O

literal
只有	O
像	O
小兽	O
一样	O
躲到	O
一个	O
偏僻	O
的	O
角落	O
，	O
独自	O
舔着	O
生疼	O
的	O
伤口	O
。	O

simile
一切	ts
都	O
是	O
那样	O
纯粹	O
，	O
就	O
像	O
掩于	O
叶间	O
的	O
小	O
青果	vs
，	O
若隐若现	O
着	O
那份	O
天真	O
。	O

simile
这	O
两朵	O
云	ts
，	O
前	O
一朵	O
那么	O
像	O
一只	O
狡猾	O
的	O
狐狸	vs
，	O
尾随	O
在	O
后	O
的	O
不	O
正是	O
凶恶	O
的	O
老虎	O
吗	O
？	O

literal
其中	O
有	O
两次	O
不知	O
谁	O
叫	O
了	O
声	O
地震	O
来	O
了	O
，	O
号召力	O
之大	O
，	O
所有人	O
都	O
在	O
往	O
外冲	O
，	O
但	O
毕竟	O
是	O
小	O
余震	O
，	O
像	O
飞鸟	O
飞过	O
没	O
留下	O
什么	O
痕迹	O
。	O

simile
抬头	O
望望	O
天空	O
，	O
天空	ts
瓦蓝得	O
像	O
一块	O
巨大	O
的	O
蓝宝石	vs
，	O
蓝宝石	O
上	O
几朵	O
白云悠悠	O
地飘着	O
，	O
不时	O
飞过来	O
几只	O
小鸟	O
。	O

simile
"	O
那	O
叶子	ts
像	O
张开	O
手指	O
的	O
手掌	vs
掌上	O
经脉	O
分明	O
。	O
"	O

simile
忽然	O
一阵	O
微风	O
吹过来	O
，	O
菊花	ts
像	O
一个	O
美少女	vs
在	O
翩翩起舞	O
。	O

simile
他们	ts
就	O
像	O
钢铁长城	vs
，	O
一直	O
被	O
人们	O
视为	O
国防	O
的	O
象征	O
，	O
这	O
不	O
正是	O
雷锋	O
的	O
传人	O
吗	O
？	O

simile
一片片	O
树叶	ts
就	O
像	O
仙女	O
撒下	O
的	O
花朵	vs
。	O

literal
一阵	O
微风	O
拂过	O
，	O
她	O
像	O
受到	O
了	O
母亲	O
甜蜜	O
的	O
吻	O
，	O
让	O
人	O
寻味	O
。	O

literal
落叶	O
像	O
被	O
秋	O
姑娘	O
亲	O
了	O
亲嘴	O
，	O
变成	O
了	O
一枚	O
枚	O
金币	O
，	O
漫天	O
飞舞	O
，	O
秋天	O
跟	O
小草	O
亲	O
亲嘴	O
，	O
小草	O
害羞	O
的	O
换上	O
了	O
黄	O
披巾	O
，	O
真是	O
秋高气爽	O
！	O

simile
雾	O
，	O
是	O
这	O
其中	O
最静	O
的	O
一个	O
，	O
她	O
的	O
性格	ts
就	O
像	O
雾	vs
一般	O
，	O
在	O
远处	O
你	O
不能	O
了解	O
，	O
这	O
薄薄的	O
白纱	O
后面	O
是	O
怎样	O
的	O
，	O
只有	O
当	O
你	O
走近	O
，	O
并	O
身临其境	O
才能	O
清楚	O
她	O
的	O
美	O
。	O

literal
小男孩	O
听	O
了	O
这些	O
话	O
就	O
像	O
大热天	O
吃	O
了	O
个	O
冰淇淋	O
。	O

literal
不过	O
这个	O
时候	O
，	O
我	O
突然	O
像	O
恍然大悟	O
一样	O
觉得	O
我	O
确实	O
已经	O
得罪	O
了	O
她	O
，	O
因为	O
从	O
那件事	O
发生	O
至于	O
发短信	O
给	O
她	O
大约	O
已经	O
有	O
两天	O
半	O
的	O
时间	O
了	O
。	O

literal
，	O
书中	O
的	O
人物	O
都	O
活生生	O
地	O
展现	O
在	O
我	O
的	O
面前	O
，	O
战斗	O
场面	O
也	O
非常	O
详细	O
，	O
腾云驾雾	O
，	O
刀光剑影	O
都	O
十分	O
精彩	O
，	O
给	O
我	O
的	O
气氛	O
不	O
像	O
是	O
在	O
看书	O
，	O
而是	O
在	O
看	O
一部	O
惊心动魄	O
的	O
电影	O
。	O

simile
刚才	O
还	O
迷蒙	O
在	O
露水	O
中	O
的	O
塘	tb
猛岭	te
，	O
现在	O
，	O
云收雾	O
散	O
，	O
她	O
像	O
一位	O
美丽	O
的	O
少女	vs
，	O
徐徐	O
揭开	O
了	O
她	O
的	O
面纱	O
。	O

simile
Z	ts
就	O
像	O
这束	O
飘香	O
的	O
栀子花	vs
一样	O
，	O
时时	O
以	O
自己	O
的	O
快乐	O
感染	O
着	O
身边	O
的	O
每	O
一个	O
人	O
。	O

simile
我	ts
很	O
渺小	O
，	O
就	O
像	O
宇宙	O
中	O
的	O
一颗	O
小	O
星	vs
，	O
既	O
没有	O
美丽	O
的	O
光彩	O
，	O
也	O
没有	O
华丽	O
的	O
修饰	O
，	O
但是	O
，	O
我	O
有	O
一颗	O
燃烧	O
着	O
的	O
心	O
。	O

simile
然而	O
在	O
晚上	O
，	O
寂寞	ts
像	O
空气	vs
般	O
绕	O
在	O
身边	O
。	O

literal
你	O
是	O
这样	O
的	O
